material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,0,data\vacancies\MAT_049_vacancy_site0.cif,-342.0480497432444,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,1,data\vacancies\MAT_049_vacancy_site1.cif,-343.72821915766434,uma-s-1p2,success
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,2,data\vacancies\MAT_049_vacancy_site2.cif,-342.0474127398898,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,0,data\vacancies\MAT_050_vacancy_site0.cif,-343.8968553061116,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,1,data\vacancies\MAT_050_vacancy_site1.cif,-344.81989278187126,uma-s-1p2,success
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,2,data\vacancies\MAT_050_vacancy_site2.cif,-343.889141620056,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,0,data\vacancies\MAT_052_vacancy_site0.cif,-336.10787001772786,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,1,data\vacancies\MAT_052_vacancy_site1.cif,-337.25572828063827,uma-s-1p2,success
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,2,data\vacancies\MAT_052_vacancy_site2.cif,-336.36357883220444,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,0,data\vacancies\MAT_053_vacancy_site0.cif,-335.40613586141023,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,1,data\vacancies\MAT_053_vacancy_site1.cif,-336.88051846437395,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,2,data\vacancies\MAT_053_vacancy_site2.cif,-335.6507159934374,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,0,data\vacancies\MAT_054_vacancy_site0.cif,-334.8315381860648,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,1,data\vacancies\MAT_054_vacancy_site1.cif,-336.5140774899327,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,2,data\vacancies\MAT_054_vacancy_site2.cif,-334.778466416615,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,0,data\vacancies\MAT_055_vacancy_site0.cif,-334.9118580413099,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,1,data\vacancies\MAT_055_vacancy_site1.cif,-336.46972027697683,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,2,data\vacancies\MAT_055_vacancy_site2.cif,-334.8463094299967,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,0,data\vacancies\MAT_057_vacancy_site0.cif,-333.1431883290402,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,1,data\vacancies\MAT_057_vacancy_site1.cif,-333.54013685136493,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,2,data\vacancies\MAT_057_vacancy_site2.cif,-332.6421952305519,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,0,data\vacancies\MAT_058_vacancy_site0.cif,-330.26731599805044,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,1,data\vacancies\MAT_058_vacancy_site1.cif,-331.24215390119866,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,2,data\vacancies\MAT_058_vacancy_site2.cif,-329.75577696013494,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,0,data\vacancies\MAT_059_vacancy_site0.cif,-326.3334056730527,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,1,data\vacancies\MAT_059_vacancy_site1.cif,-327.4362221507873,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,2,data\vacancies\MAT_059_vacancy_site2.cif,-326.2313579081191,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,0,data\vacancies\MAT_060_vacancy_site0.cif,-325.3811579721066,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,1,data\vacancies\MAT_060_vacancy_site1.cif,-326.61269828598165,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,2,data\vacancies\MAT_060_vacancy_site2.cif,-325.2578571346116,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,0,data\vacancies\MAT_062_vacancy_site0.cif,-323.63106588480974,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,1,data\vacancies\MAT_062_vacancy_site1.cif,-324.1784527923774,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,2,data\vacancies\MAT_062_vacancy_site2.cif,-323.2894275862447,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,0,data\vacancies\MAT_063_vacancy_site0.cif,-316.0487436882602,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,1,data\vacancies\MAT_063_vacancy_site1.cif,-317.1524305360226,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,2,data\vacancies\MAT_063_vacancy_site2.cif,-315.72438406475726,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,0,data\vacancies\MAT_064_vacancy_site0.cif,-301.3127273652551,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,1,data\vacancies\MAT_064_vacancy_site1.cif,-302.71603578930905,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,2,data\vacancies\MAT_064_vacancy_site2.cif,-301.25024039451245,uma-s-1p2,success
