material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_233,Os,0.6,0.4,Ru0.60Os0.40Ox,data\substituted_structures\MAT_233_Ru0.60Os0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_234,Os,0.4,0.6,Ru0.40Os0.60Ox,data\substituted_structures\MAT_234_Ru0.40Os0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_235,Os,0.2,0.8,Ru0.20Os0.80Ox,data\substituted_structures\MAT_235_Ru0.20Os0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_237,Ir,0.8,0.1999999999999999,Ru0.80Ir0.20Ox,data\substituted_structures\MAT_237_Ru0.80Ir0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_238,Ir,0.6,0.4,Ru0.60Ir0.40Ox,data\substituted_structures\MAT_238_Ru0.60Ir0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_239,Ir,0.4,0.6,Ru0.40Ir0.60Ox,data\substituted_structures\MAT_239_Ru0.40Ir0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_240,Ir,0.2,0.8,Ru0.20Ir0.80Ox,data\substituted_structures\MAT_240_Ru0.20Ir0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_242,Pt,0.8,0.1999999999999999,Ru0.80Pt0.20Ox,data\substituted_structures\MAT_242_Ru0.80Pt0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_243,Pt,0.6,0.4,Ru0.60Pt0.40Ox,data\substituted_structures\MAT_243_Ru0.60Pt0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_244,Pt,0.4,0.6,Ru0.40Pt0.60Ox,data\substituted_structures\MAT_244_Ru0.40Pt0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_245,Pt,0.2,0.8,Ru0.20Pt0.80Ox,data\substituted_structures\MAT_245_Ru0.20Pt0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
