material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_024,Ru0.25Cu0.75Ox,O,data\substituted_adsorbates\MAT_024_O_site2_adsorbed.cif,-506.7133843101039,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,O2,data\substituted_adsorbates\MAT_024_O2_site0_adsorbed.cif,-512.469589249011,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,O2,data\substituted_adsorbates\MAT_024_O2_site1_adsorbed.cif,-512.4354575176645,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,O2,data\substituted_adsorbates\MAT_024_O2_site2_adsorbed.cif,-512.6668205556124,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,N2O,data\substituted_adsorbates\MAT_024_N2O_site0_adsorbed.cif,-524.2722462386025,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,N2O,data\substituted_adsorbates\MAT_024_N2O_site1_adsorbed.cif,-524.2395886225316,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,N2O,data\substituted_adsorbates\MAT_024_N2O_site2_adsorbed.cif,-524.5104704302217,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O,data\substituted_adsorbates\MAT_026_O_site0_adsorbed.cif,-726.4043082367302,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O,data\substituted_adsorbates\MAT_026_O_site1_adsorbed.cif,-726.7235805872399,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O,data\substituted_adsorbates\MAT_026_O_site2_adsorbed.cif,-726.7280195408733,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O2,data\substituted_adsorbates\MAT_026_O2_site0_adsorbed.cif,-731.1476085809338,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O2,data\substituted_adsorbates\MAT_026_O2_site1_adsorbed.cif,-730.9679311005483,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,O2,data\substituted_adsorbates\MAT_026_O2_site2_adsorbed.cif,-731.169826176086,uma-s-1p2,success
MAT_026,Ru0.75Ti0.25Ox,N2O,data\substituted_adsorbates\MAT_026_N2O_site0_adsorbed.cif,-742.1083321262754,uma-s-1p2,success
