material_id,M_element,Ru_fraction,M_fraction,nominal_formula,slab_file,predicted_energy_eV,backend,status
MAT_195,Dy,0.2,0.8,Ru0.20Dy0.80Ox,data\substituted_slabs\MAT_195_110_slab.cif,-229.4361210565095,uma-s-1p2,success
MAT_197,Ho,0.8,0.1999999999999999,Ru0.80Ho0.20Ox,data\substituted_slabs\MAT_197_110_slab.cif,-308.5790820791311,uma-s-1p2,success
MAT_198,Ho,0.6,0.4,Ru0.60Ho0.40Ox,data\substituted_slabs\MAT_198_110_slab.cif,-288.6967489063851,uma-s-1p2,success
MAT_199,Ho,0.4,0.6,Ru0.40Ho0.60Ox,data\substituted_slabs\MAT_199_110_slab.cif,-250.4191366975021,uma-s-1p2,success
MAT_200,Ho,0.2,0.8,Ru0.20Ho0.80Ox,data\substituted_slabs\MAT_200_110_slab.cif,-233.15183641527238,uma-s-1p2,success
MAT_202,Er,0.8,0.1999999999999999,Ru0.80Er0.20Ox,data\substituted_slabs\MAT_202_110_slab.cif,-310.35876459027327,uma-s-1p2,success
MAT_203,Er,0.6,0.4,Ru0.60Er0.40Ox,data\substituted_slabs\MAT_203_110_slab.cif,-291.4239970354608,uma-s-1p2,success
MAT_204,Er,0.4,0.6,Ru0.40Er0.60Ox,data\substituted_slabs\MAT_204_110_slab.cif,-254.6580092770252,uma-s-1p2,success
MAT_205,Er,0.2,0.8,Ru0.20Er0.80Ox,data\substituted_slabs\MAT_205_110_slab.cif,-237.96212993980623,uma-s-1p2,success
MAT_207,Yb,0.8,0.1999999999999999,Ru0.80Yb0.20Ox,data\substituted_slabs\MAT_207_110_slab.cif,-305.59799654657127,uma-s-1p2,success
MAT_208,Yb,0.6,0.4,Ru0.60Yb0.40Ox,data\substituted_slabs\MAT_208_110_slab.cif,-284.35655215225916,uma-s-1p2,success
MAT_209,Yb,0.4,0.6,Ru0.40Yb0.60Ox,data\substituted_slabs\MAT_209_110_slab.cif,-242.4297534465511,uma-s-1p2,success
MAT_210,Yb,0.2,0.8,Ru0.20Yb0.80Ox,data\substituted_slabs\MAT_210_110_slab.cif,-222.74975669428937,uma-s-1p2,success
MAT_212,Hf,0.8,0.1999999999999999,Ru0.80Hf0.20Ox,data\substituted_slabs\MAT_212_110_slab.cif,-370.47045170545897,uma-s-1p2,success
MAT_213,Hf,0.6,0.4,Ru0.60Hf0.40Ox,data\substituted_slabs\MAT_213_110_slab.cif,-382.5230455250327,uma-s-1p2,success
MAT_214,Hf,0.4,0.6,Ru0.40Hf0.60Ox,data\substituted_slabs\MAT_214_110_slab.cif,-409.5339999675099,uma-s-1p2,success
MAT_215,Hf,0.2,0.8,Ru0.20Hf0.80Ox,data\substituted_slabs\MAT_215_110_slab.cif,-422.28809269712536,uma-s-1p2,success
MAT_217,Ta,0.8,0.1999999999999999,Ru0.80Ta0.20Ox,data\substituted_slabs\MAT_217_110_slab.cif,-373.5056072030091,uma-s-1p2,success
